"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2025","24,579.60","24,653.00","24,754.65","24,524.80","271.56M","-0.18%"
"09/01/2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
"08/29/2025","24,426.85","24,466.70","24,572.45","24,404.70","325.52M","-0.30%"
"08/28/2025","24,500.90","24,695.80","24,702.65","24,481.60","326.60M","-0.85%"
"08/26/2025","24,712.05","24,899.50","24,919.65","24,689.60","750.47M","-1.02%"
"08/25/2025","24,967.75","24,949.15","25,021.55","24,894.35","213.03M","0.39%"
"08/22/2025","24,870.10","25,064.15","25,084.85","24,859.15","210.17M","-0.85%"
"08/21/2025","25,083.75","25,142.00","25,153.65","25,054.90","226.54M","0.13%"
"08/20/2025","25,050.55","24,965.80","25,088.70","24,929.70","287.05M","0.28%"
"08/19/2025","24,980.65","24,891.35","25,012.65","24,873.95","252.34M","0.42%"
"08/18/2025","24,876.95","24,938.20","25,022.00","24,852.85","363.07M","1.00%"
"08/14/2025","24,631.30","24,607.25","24,673.65","24,596.90","270.16M","0.05%"
"08/13/2025","24,619.35","24,586.20","24,664.55","24,535.25","236.01M","0.54%"
"08/12/2025","24,487.40","24,563.35","24,702.60","24,465.65","237.00M","-0.40%"
"08/11/2025","24,585.05","24,371.50","24,600.85","24,347.45","241.15M","0.91%"
"08/08/2025","24,363.30","24,544.25","24,585.50","24,337.50","312.63M","-0.95%"
"08/07/2025","24,596.15","24,464.20","24,634.20","24,344.15","616.74M","0.09%"
"08/06/2025","24,574.20","24,641.35","24,671.40","24,539.20","225.09M","-0.31%"
"08/05/2025","24,649.55","24,720.25","24,733.10","24,590.30","251.85M","-0.30%"
"08/04/2025","24,722.75","24,596.05","24,736.25","24,554.00","259.33M","0.64%"
"08/01/2025","24,565.35","24,734.90","24,784.15","24,535.05","263.36M","-0.82%"
"07/31/2025","24,768.35","24,642.25","24,956.50","24,635.00","346.30M","-0.35%"
"07/30/2025","24,855.05","24,890.40","24,902.30","24,771.95","243.89M","0.14%"
"07/29/2025","24,821.10","24,609.65","24,847.15","24,598.60","284.66M","0.57%"
"07/28/2025","24,680.90","24,782.45","24,889.20","24,646.60","262.14M","-0.63%"
"07/25/2025","24,837.00","25,010.35","25,010.35","24,806.35","278.14M","-0.90%"
"07/24/2025","25,062.10","25,243.30","25,246.25","25,018.70","338.73M","-0.63%"
"07/23/2025","25,219.90","25,139.35","25,233.50","25,085.50","271.54M","0.63%"
"07/22/2025","25,060.90","25,166.65","25,182.00","25,035.55","483.73M","-0.12%"
"07/21/2025","25,090.70","24,999.00","25,111.40","24,882.30","305.22M","0.49%"
"07/18/2025","24,968.40","25,108.55","25,144.60","24,918.65","316.98M","-0.57%"
"07/17/2025","25,111.45","25,230.75","25,238.35","25,101.00","243.41M","-0.40%"
"07/16/2025","25,212.05","25,196.60","25,255.30","25,121.05","228.82M","0.06%"
"07/15/2025","25,195.80","25,089.50","25,245.20","25,088.45","241.34M","0.45%"
"07/14/2025","25,082.30","25,149.50","25,151.10","25,001.95","259.53M","-0.27%"
"07/11/2025","25,149.85","25,255.50","25,322.45","25,129.00","249.99M","-0.81%"
"07/10/2025","25,355.25","25,511.65","25,524.05","25,340.45","219.61M","-0.47%"
"07/09/2025","25,476.10","25,514.60","25,548.70","25,424.35","239.08M","-0.18%"
"07/08/2025","25,522.50","25,427.85","25,548.05","25,424.15","210.41M","0.24%"
"07/07/2025","25,461.30","25,450.45","25,489.80","25,407.25","196.05M","0.00%"
"07/04/2025","25,461.00","25,428.85","25,470.25","25,331.65","193.51M","0.22%"
"07/03/2025","25,405.30","25,505.10","25,587.50","25,384.35","293.43M","-0.19%"
"07/02/2025","25,453.40","25,588.30","25,608.10","25,378.75","309.83M","-0.35%"
"07/01/2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"06/30/2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"06/27/2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"06/26/2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"06/25/2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"06/24/2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"06/23/2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"06/20/2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"06/19/2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"06/18/2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"06/17/2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"06/16/2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"06/13/2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"06/12/2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
