"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2025","21,084.04","21,086.58","21,281.25","21,033.05","614.98M","-1.73%"
"08/29/2025","21,455.55","21,630.33","21,631.15","21,397.98","1.38B","-1.15%"
"08/28/2025","21,705.16","21,619.27","21,742.46","21,534.94","1.28B","0.53%"
"08/27/2025","21,590.14","21,526.33","21,616.17","21,476.30","1.45B","0.21%"
"08/26/2025","21,544.27","21,443.63","21,550.93","21,389.10","1.77B","0.44%"
"08/25/2025","21,449.29","21,466.47","21,572.18","21,400.09","1.34B","-0.22%"
"08/22/2025","21,496.54","21,139.83","21,545.43","21,092.36","1.55B","1.88%"
"08/21/2025","21,100.31","21,112.52","21,198.76","21,013.53","1.06B","-0.34%"
"08/20/2025","21,172.86","21,269.67","21,269.67","20,905.99","1.31B","-0.67%"
"08/19/2025","21,314.95","21,607.45","21,610.24","21,277.71","1.36B","-1.46%"
"08/18/2025","21,629.77","21,616.82","21,651.50","21,559.33","1.38B","0.03%"
"08/15/2025","21,622.98","21,709.34","21,716.18","21,567.46","1.54B","-0.40%"
"08/14/2025","21,710.67","21,649.21","21,766.29","21,627.13","1.45B","-0.01%"
"08/13/2025","21,713.14","21,764.55","21,803.75","21,645.14","1.58B","0.14%"
"08/12/2025","21,681.90","21,507.44","21,689.68","21,386.25","1.45B","1.39%"
"08/11/2025","21,385.40","21,459.65","21,549.73","21,346.62","1.53B","-0.30%"
"08/08/2025","21,450.02","21,316.37","21,464.53","21,284.97","1.43B","0.98%"
"08/07/2025","21,242.70","21,325.01","21,408.15","21,090.05","1.51B","0.35%"
"08/06/2025","21,169.42","20,955.22","21,183.88","20,937.49","1.48B","1.21%"
"08/05/2025","20,916.55","21,092.10","21,138.72","20,893.29","1.40B","-0.65%"
"08/04/2025","21,053.58","20,853.91","21,055.24","20,833.86","1.31B","1.95%"
"08/01/2025","20,650.13","20,830.64","20,865.63","20,560.17","1.55B","-2.24%"
"07/31/2025","21,122.45","21,457.48","21,457.48","21,078.67","1.72B","-0.03%"
"07/30/2025","21,129.67","21,140.40","21,230.88","21,016.92","1.48B","0.15%"
"07/29/2025","21,098.29","21,286.72","21,303.96","21,081.69","1.49B","-0.38%"
"07/28/2025","21,178.58","21,176.40","21,202.18","21,122.12","1.43B","0.33%"
